priority,status,owner_primary,owner_support,subject_id,unit_id,chapter_id,chapter_title,tier,recommended_concept_packs,visual_min,completeness_score_pct,gap_summary,acceptance_criteria
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U1,S10_CH_CARBON,Carbon and its Compounds,high-roi,18,4,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U1,S10_CH_CHEM_REAC,Chemical Reactions and Equations,must-crack,12,3,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U4,S10_CH_ELECTRICITY,Electricity,must-crack,16,6,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U3,S10_CH_LIGHT,"Light – Reflection and Refraction (incl. Human Eye, Prism)",must-crack,20,8,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U4,S10_CH_MAGNETISM,Magnetic Effects of Electric Current,high-roi,16,6,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U1,S10_CH_METALS,Metals and Non-metals,high-roi,14,4,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U2,M10_CH_AP,Arithmetic Progressions,high-roi,8,2,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U2,M10_CH_PAIR_LINEAR,Pair of Linear Equations in Two Variables,must-crack,10,3,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U2,M10_CH_POLY,Polynomials,high-roi,7,3,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U7,M10_CH_PROB,Probability,must-crack,6,1,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U2,M10_CH_QUADRATIC,Quadratic Equations,must-crack,10,2,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U1,M10_CH_REAL_NUM,Real Numbers,high-roi,6,2,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U7,M10_CH_STATS,Statistics,must-crack,10,4,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U4,M10_CH_TRIANGLES,Triangles,must-crack,14,5,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
P3,READY,Maths Content Lead,Quality Gate Reviewer,maths,M10_U5,M10_CH_TRIG,Trigonometry,must-crack,14,5,100,No critical gaps detected.,Maintain coverage: keep TopicHub + predicted + HPQ + daily mix in sync on every content update.
